iter	Passed	Remaining
0	60	60020
1	60	30086
2	60	20110
3	60	15127
4	60	12129
5	61	10143
6	61	8713
7	61	7641
8	61	6808
9	62	6140
10	62	5594
11	62	5140
12	62	4755
13	62	4427
14	63	4141
15	63	3894
16	63	3674
17	63	3479
18	63	3304
19	64	3146
20	64	3005
21	64	2875
22	64	2757
23	65	2649
24	65	2549
25	65	2457
26	65	2370
27	65	2290
28	66	2216
29	66	2146
30	66	2081
31	66	2021
32	67	1964
33	67	1910
34	67	1859
35	67	1812
36	67	1767
37	68	1727
38	68	1686
39	68	1646
40	68	1609
41	69	1574
42	69	1540
43	69	1508
44	69	1477
45	69	1448
46	70	1420
47	70	1393
48	70	1367
49	70	1343
50	70	1319
51	71	1296
52	71	1274
53	71	1253
54	71	1233
55	71	1213
56	72	1193
57	72	1175
58	72	1157
59	72	1139
60	72	1122
61	73	1106
62	73	1090
63	73	1075
64	73	1060
65	73	1046
66	74	1032
67	74	1019
68	74	1007
69	75	1004
70	75	992
71	76	979
72	76	967
73	76	957
74	76	946
75	76	935
76	77	924
77	77	913
78	77	903
79	77	893
80	77	884
81	78	874
82	78	864
83	78	855
84	78	846
85	78	837
86	79	829
87	79	821
88	79	813
89	79	805
90	79	797
91	80	790
92	80	782
93	80	775
94	80	768
95	80	761
96	81	754
97	81	747
98	81	741
99	81	734
100	81	728
101	82	722
102	82	716
103	83	718
104	83	712
105	83	706
106	83	701
107	84	695
108	84	690
109	84	684
110	84	679
111	85	674
112	85	669
113	85	664
114	85	659
115	85	654
116	86	649
117	86	645
118	86	640
119	86	636
120	86	631
121	87	626
122	87	622
123	87	618
124	87	614
125	87	610
126	88	605
127	88	601
128	88	597
129	88	593
130	88	589
131	89	585
132	89	582
133	89	578
134	89	574
135	89	571
136	90	567
137	90	564
138	90	561
139	90	558
140	91	556
141	91	552
142	91	549
143	91	546
144	92	544
145	92	541
146	92	538
147	93	535
148	93	532
149	93	529
150	93	526
151	93	523
152	93	520
153	94	517
154	94	514
155	94	511
156	94	508
157	94	505
158	95	503
159	95	500
160	95	497
161	95	494
162	95	491
163	96	489
164	96	486
165	96	484
166	96	481
167	96	479
168	96	476
169	97	474
170	97	471
171	97	469
172	97	467
173	98	465
174	98	463
175	98	461
176	98	458
177	98	456
178	99	454
179	99	452
180	99	450
181	99	448
182	99	446
183	100	444
184	100	442
185	100	439
186	100	437
187	100	435
188	101	433
189	101	431
190	101	429
191	101	428
192	101	426
193	102	424
194	102	422
195	102	420
196	102	418
197	102	417
198	103	415
199	103	413
200	103	412
201	103	410
202	104	408
203	104	406
204	104	405
205	104	403
206	104	401
207	105	400
208	105	398
209	105	396
210	105	395
211	106	394
212	106	392
213	106	391
214	106	389
215	106	388
216	107	386
217	107	385
218	107	384
219	107	382
220	108	381
221	108	379
222	108	377
223	108	376
224	108	374
225	109	373
226	109	372
227	109	370
228	109	369
229	109	367
230	110	366
231	110	365
232	110	363
233	110	362
234	110	360
235	111	359
236	111	358
237	111	356
238	111	355
239	111	354
240	112	352
241	112	351
242	112	350
243	112	348
244	112	347
245	113	346
246	113	345
247	113	344
248	113	343
249	114	342
250	114	340
251	114	339
252	114	338
253	114	337
254	115	336
255	115	334
256	115	333
257	115	332
258	115	331
259	116	330
260	116	329
261	116	327
262	116	326
263	116	325
264	116	324
265	117	323
266	117	322
267	117	321
268	117	320
269	117	319
270	118	317
271	118	316
272	118	315
273	118	314
274	118	313
275	119	312
276	119	311
277	119	310
278	119	309
279	120	308
280	120	307
281	120	306
282	120	305
283	120	304
284	121	303
285	121	302
286	121	302
287	121	301
288	121	300
289	122	299
290	122	298
291	122	297
292	122	296
293	122	295
294	123	294
295	123	293
296	123	292
297	123	291
298	123	290
299	124	289
300	124	288
301	124	287
302	124	286
303	124	286
304	125	285
305	125	284
306	125	283
307	125	282
